 &plot nbnd=  20, nks=    91 /
            0.000000  0.500000  0.000000
  -17.061  -17.061  -16.673  -16.673   -7.569   -7.569   -7.144   -7.144   -6.818   -6.818
   -6.572   -6.572   -2.603   -2.603   -2.020   -2.020    4.359    4.359    6.790    6.790
            0.000000  0.475000  0.000000
  -17.084  -17.038  -16.675  -16.671   -7.570   -7.569   -7.173   -7.116   -6.825   -6.808
   -6.587   -6.559   -2.603   -2.600   -2.035   -2.004    4.221    4.494    6.748    6.815
            0.000000  0.450000  0.000000
  -17.106  -17.015  -16.677  -16.669   -7.572   -7.570   -7.202   -7.089   -6.830   -6.797
   -6.601   -6.546   -2.601   -2.596   -2.051   -1.988    4.083    4.626    6.696    6.819
            0.000000  0.425000  0.000000
  -17.128  -16.992  -16.679  -16.668   -7.574   -7.571   -7.232   -7.063   -6.831   -6.783
   -6.615   -6.534   -2.597   -2.589   -2.066   -1.972    3.945    4.754    6.637    6.799
            0.000000  0.400000  0.000000
  -17.149  -16.970  -16.682  -16.667   -7.578   -7.573   -7.262   -7.037   -6.830   -6.769
   -6.629   -6.523   -2.592   -2.580   -2.082   -1.957    3.807    4.876    6.576    6.755
            0.000000  0.375000  0.000000
  -17.170  -16.947  -16.684  -16.666   -7.582   -7.575   -7.292   -7.013   -6.826   -6.755
   -6.642   -6.513   -2.584   -2.568   -2.097   -1.941    3.672    4.991    6.513    6.693
            0.000000  0.350000  0.000000
  -17.189  -16.925  -16.686  -16.665   -7.586   -7.578   -7.321   -6.989   -6.819   -6.743
   -6.652   -6.504   -2.575   -2.555   -2.113   -1.926    3.540    5.099    6.451    6.618
            0.000000  0.325000  0.000000
  -17.208  -16.903  -16.689  -16.664   -7.591   -7.581   -7.351   -6.967   -6.809   -6.734
   -6.659   -6.497   -2.565   -2.540   -2.129   -1.911    3.411    5.197    6.391    6.535
            0.000000  0.300000  0.000000
  -17.226  -16.883  -16.691  -16.664   -7.597   -7.584   -7.379   -6.945   -6.797   -6.731
   -6.659   -6.492   -2.553   -2.524   -2.145   -1.896    3.287    5.287    6.333    6.449
            0.000000  0.275000  0.000000
