1.000000000000000000e+01 -8.283024681000000555e+01 7.677000000000000490e-01 3.400000000000000244e-01 5.000000000000000000e-01
1.668100537200059108e+01 -8.213613313000000460e+01 7.203000000000000513e-01 3.499999999999999778e-01 5.500000000000000444e-01
2.782559402207124322e+01 -8.205830982000000517e+01 7.254000000000000448e-01 4.299999999999999933e-01 9.699999999999999734e-01
4.641588833612777165e+01 -8.222513585999999464e+01 7.056000000000000050e-01 5.600000000000000533e-01 1.419999999999999929e+00
7.742636826811269657e+01 -8.221113583000000347e+01 7.584999999999999520e-01 8.800000000000000044e-01 2.529999999999999805e+00
1.291549665014883885e+02 -8.214430081000000428e+01 7.933999999999999941e-01 1.120000000000000107e+00 3.240000000000000213e+00
2.154434690031882269e+02 -8.213742899999999736e+01 7.950000000000000400e-01 1.889999999999999902e+00 5.580000000000000071e+00
3.593813663804625662e+02 -8.213721898000000010e+01 7.946999999999999620e-01 3.270000000000000018e+00 8.210000000000000853e+00
5.994842503189408944e+02 -8.213732151000000670e+01 7.946999999999999620e-01 7.349999999999999645e+00 1.498000000000000043e+01
1.000000000000000000e+03 -8.213733813999999711e+01 7.946999999999999620e-01 1.375000000000000000e+01 2.471999999999999886e+01
