 &plot nbnd=  20, nks=    91 /
            0.000000  0.500000  0.000000
  -17.082  -17.082  -16.699  -16.699   -7.588   -7.588   -7.163   -7.163   -6.842   -6.842
   -6.599   -6.599   -2.624   -2.624   -2.043   -2.043    4.319    4.319    6.756    6.756
            0.000000  0.475000  0.000000
  -17.105  -17.060  -16.701  -16.698   -7.589   -7.588   -7.192   -7.136   -6.849   -6.833
   -6.613   -6.585   -2.625   -2.622   -2.059   -2.028    4.182    4.455    6.715    6.782
            0.000000  0.450000  0.000000
  -17.127  -17.037  -16.704  -16.696   -7.591   -7.589   -7.221   -7.109   -6.853   -6.821
   -6.627   -6.572   -2.623   -2.617   -2.075   -2.012    4.044    4.587    6.663    6.786
            0.000000  0.425000  0.000000
  -17.148  -17.015  -16.706  -16.694   -7.593   -7.590   -7.251   -7.083   -6.855   -6.808
   -6.641   -6.560   -2.619   -2.610   -2.090   -1.996    3.906    4.715    6.605    6.767
            0.000000  0.400000  0.000000
  -17.169  -16.992  -16.708  -16.693   -7.597   -7.592   -7.280   -7.058   -6.853   -6.794
   -6.655   -6.549   -2.614   -2.601   -2.106   -1.980    3.769    4.837    6.544    6.724
            0.000000  0.375000  0.000000
  -17.189  -16.970  -16.710  -16.692   -7.601   -7.594   -7.310   -7.033   -6.849   -6.781
   -6.667   -6.540   -2.607   -2.590   -2.121   -1.965    3.634    4.954    6.482    6.663
            0.000000  0.350000  0.000000
  -17.209  -16.948  -16.713  -16.691   -7.605   -7.596   -7.339   -7.010   -6.842   -6.768
   -6.678   -6.531   -2.598   -2.577   -2.137   -1.949    3.502    5.062    6.421    6.589
            0.000000  0.325000  0.000000
  -17.228  -16.927  -16.715  -16.691   -7.610   -7.599   -7.368   -6.988   -6.833   -6.759
   -6.684   -6.524   -2.587   -2.562   -2.153   -1.934    3.374    5.162    6.361    6.507
            0.000000  0.300000  0.000000
  -17.245  -16.906  -16.717  -16.691   -7.615   -7.602   -7.397   -6.967   -6.821   -6.756
   -6.685   -6.519   -2.576   -2.546   -2.169   -1.920    3.250    5.252    6.304    6.421
            0.000000  0.275000  0.000000
  -17.262  -16.887  -16.719  -16.691   -7.620   -7.604   -7.424   -6.946   -6.807   -6.759
   -6.679   -6.516   -2.563   -2.528   -2.185   -1.906    3.132    5.332    6.250    6.334
            0.000000  0.250000  0.000000
  -17.277  -16.867  -16.721  -16.691   -7.625   -7.607   -7.450   -6.927   -6.791   -6.767
   -6.669   -6.514   -2.549   -2.509   -2.201   -1.892    3.021    5.402    6.198    6.250
            0.000000  0.225000  0.000000
  -17.291  -16.849  -16.723  -16.693   -7.629   -7.609   -7.475   -6.909   -6.776   -6.774
   -6.658   -6.514   -2.534   -2.490   -2.218   -1.880    2.917    5.463    6.149    6.169
            0.000000  0.200000  0.000000
  -17.304  -16.832  -16.725  -16.694   -7.633   -7.612   -7.498   -6.893   -6.785   -6.755
   -6.647   -6.517   -2.518   -2.471   -2.235   -1.868    2.821    5.514    6.093    6.102
            0.000000  0.175000  0.000000
  -17.316  -16.816  -16.727  -16.696   -7.636   -7.614   -7.520   -6.878   -6.793   -6.736
   -6.637   -6.521   -2.502   -2.452   -2.252   -1.858    2.734    5.558    6.024    6.057
            0.000000  0.150000  0.000000
  -17.326  -16.800  -16.728  -16.699   -7.638   -7.616   -7.540   -6.865   -6.802   -6.716
   -6.628   -6.527   -2.485   -2.435   -2.269   -1.848    2.657    5.595    5.962    6.014
            0.000000  0.125000  0.000000
  -17.334  -16.786  -16.729  -16.703   -7.639   -7.617   -7.558   -6.853   -6.809   -6.696
   -6.619   -6.535   -2.468   -2.419   -2.287   -1.840    2.590    5.629    5.909    5.971
            0.000000  0.100000  0.000000
  -17.342  -16.773  -16.730  -16.707   -7.639   -7.619   -7.575   -6.843   -6.815   -6.676
   -6.613   -6.545   -2.450   -2.404   -2.305   -1.834    2.535    5.660    5.864    5.930
            0.000000  0.075000  0.000000
  -17.347  -16.761  -16.731  -16.712   -7.637   -7.620   -7.589   -6.836   -6.819   -6.656
   -6.608   -6.556   -2.432   -2.393   -2.323   -1.829    2.491    5.690    5.829    5.891
            0.000000  0.050000  0.000000
  -17.351  -16.751  -16.732  -16.718   -7.633   -7.621   -7.602   -6.830   -6.823   -6.637
   -6.604   -6.570   -2.414   -2.384   -2.341   -1.825    2.459    5.720    5.803    5.853
            0.000000  0.025000  0.000000
  -17.354  -16.741  -16.732  -16.725   -7.628   -7.621   -7.612   -6.827   -6.825   -6.619
   -6.602   -6.585   -2.396   -2.379   -2.359   -1.823    2.440    5.750    5.788    5.817
            0.000000  0.000000  0.000000
  -17.354  -16.732  -16.732  -16.732   -7.621   -7.621   -7.621   -6.825   -6.825   -6.601
   -6.601   -6.601   -2.377   -2.377   -2.377   -1.822    2.434    5.783    5.783    5.783
           -0.016667  0.000000 -0.016667
  -17.354  -16.740  -16.732  -16.725   -7.628   -7.621   -7.613   -6.826   -6.825   -6.617
   -6.602   -6.585   -2.394   -2.379   -2.360   -1.823    2.440    5.753    5.786    5.816
           -0.033333  0.000000 -0.033333
  -17.351  -16.749  -16.733  -16.718   -7.632   -7.621   -7.603   -6.828   -6.825   -6.633
   -6.607   -6.570   -2.411   -2.384   -2.342   -1.825    2.457    5.726    5.795    5.852
           -0.050000  0.000000 -0.050000
  -17.348  -16.758  -16.733  -16.712   -7.635   -7.621   -7.591   -6.831   -6.824   -6.649
   -6.614   -6.556   -2.428   -2.393   -2.325   -1.828    2.485    5.703    5.809    5.891
           -0.066667  0.000000 -0.066667
